"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"22/08/2022","31,74","32,41","2,14","30,48","32,58","2,92B"
"19/08/2022","32,92","31,73","-5,06","31,33","33,15","3,99B"
"18/08/2022","33,10","33,42","2,01","32,87","33,66","2,80B"
"17/08/2022","31,65","32,76","2,34","31,60","32,82","2,36B"
"16/08/2022","31,72","32,01","0,91","31,50","32,07","2,04B"
"15/08/2022","30,88","31,72","0,03","30,55","32,23","3,04B"
"12/08/2022","29,10","31,71","7,20","29,08","31,83","5,24B"
"11/08/2022","30,56","29,58","-2,32","29,58","30,89","3,83B"
"10/08/2022","30,72","30,28","-0,32","29,87","30,72","2,34B"
"09/08/2022","30,20","30,38","1,64","30,07","30,57","2,37B"
"08/08/2022","28,67","29,89","5,05","28,67","30,00","3,22B"
"05/08/2022","27,87","28,45","1,93","27,84","28,61","2,20B"
"04/08/2022","27,81","27,92","0,97","27,40","28,07","1,50B"
"03/08/2022","27,75","27,65","0,15","27,39","27,87","1,80B"
"02/08/2022","27,56","27,61","0,45","27,32","28,15","1,90B"
"01/08/2022","27,74","27,48","-1,38","27,11","27,87","2,22B"